gene_name	HCM-CSHL-0080-C25-01A	HCM-SANG-0291-C15-85A-01R-A80W-32	HCM-SANG-0265-C18-85A	HCM-CSHL-0160-C18-01B	HCM-SANG-0269-C18-85A-01R-A80W-32
MIR518A1	0	0	0	0	0
MIR599	3	0	2	13	0
MIR483	0	0	0	0	26
MIR95	7	0	4	9	0
MIR27A	0	0	0	0	0
MIR519E	0	0	0	1	0
MIR34B	0	0	0	0	0
MIR605	12	0	0	28	0
MIR147A	0	0	0	0	0
MIR563	5	0	2	22	0
MIR124.2	0	0	0	1	0
MIR105.2	0	0	0	0	0
MIR545	2	0	2	15	5
MIR640	11	0	3	20	0
MIR519B	0	0	0	0	0
MIR596	1	0	2	0	2
MIR30A	24	0	1	3	0
MIR517B	0	0	0	0	0
MIR517C	0	0	0	0	0
MIR33B	2	1	1	3	0
MIR520H	0	0	0	0	0
MIR518B	0	0	0	0	0
MIR125B2	0	0	0	0	0
MIR27B	11	2	19	9	0
MIR514A2	0	0	0	0	0
MIR514A3	0	0	0	0	0
MIR514A1	0	0	0	0	0
MIR498	0	0	0	0	0
MIR221	42	1	9	10	7
MIR513B	0	0	0	3	2
MIR513A1	0	0	0	2	0
MIR610	0	0	1	3	0
AC104450.1	1	0	2	0	5
MIR559	8	0	18	46	78
MIR196A2	0	3	1	1	0
MIR516B2	0	0	0	1	0
MIR135A1	0	0	0	0	0
MIR302A	0	0	1	3	0
MIR603	4	0	5	9	5
MIR577	0	0	4	3	0
MIR33A	0	0	0	0	0
MIR9.1	0	0	1	0	0
MIR654	0	0	0	0	0
MIR204	0	0	0	0	0
MIR511	2	0	0	11	0
MIR567	2	0	1	4	0
MIR552	0	0	1	9	0
MIR136	0	0	0	0	0
MIR634	2	0	0	1	0
MIR574	2	0	1	2	5
MIR516B1	0	0	0	0	0
MIR152	0	0	0	2	0
MIR328	0	0	0	0	0
MIR561	27	0	4	23	0
MIR624	9	0	1	19	5
MIR138.1	0	0	0	0	0
AL359091.1	3	0	1	10	7
MIR579	3	0	5	9	7
MIR105.1	0	0	0	0	0
MIR656	1	0	0	3	0
MIR153.2	1	0	0	2	0
MIR496	0	0	0	1	0
MIR30C1	3	0	3	3	5
MIR569	1	0	5	10	0
MIR629	5	0	1	1	0
MIR620	0	0	1	4	0
MIR507	0	0	0	11	0
MIR660	0	0	0	3	0
MIR125B1	11	0	0	7	0
MIR638	0	0	2	0	0
MIR589	4	4	6	5	0
MIR557	8	0	0	1	5
MIR181B1	5	0	0	2	0
MIR607	0	0	0	2	0
MIR154	0	0	0	0	0
MIR527	0	0	0	0	0
MIR23A	0	0	0	0	0
MIR519D	0	0	0	0	0
MIR548B	0	0	0	2	0
MIR613	1	0	0	9	7
MIR513A2	0	0	0	4	0
MIR518E	0	0	0	0	0
MIR576	9	1	2	37	0
MIR493	0	0	0	0	0
MIR182	0	0	2	1	0
MIR601	5	0	2	9	0
MIR519A1	0	0	0	1	0
MIR134	2	0	0	0	0
MIR100	2	0	0	1	0
MIR325	0	0	0	0	0
MIR301A	2	0	2	4	0
MIR644A	8	0	5	37	0
MIR509.1	0	0	0	3	0
MIR431	0	0	0	0	0
MIR643	7	0	1	17	2
MIR549A	0	0	6	16	7
MIR323B	0	0	0	2	0
MIR503	0	0	0	0	0
MIR16.1	0	0	0	0	0
MIR125A	0	0	0	0	0
MIR130A	0	0	0	3	0
MIRLET7F2	0	0	0	0	0
MIR652	2	0	1	3	0
MIR653	0	0	0	0	0
MIR362	0	0	1	1	0
MIR140	5	0	1	4	0
MIR645	5	0	4	16	0
MIR618	0	0	0	0	0
MIR185	0	0	2	3	0
MIR199A2	0	0	0	0	0
MIR591	9	0	4	42	0
MIR485	0	0	0	0	0
MIR616	2	0	12	19	26
MIR548A3	0	0	0	1	0
MIR609	1	0	2	1	0
MIR106B	1	1	9	1	9
MIR320A	1	0	1	0	2
SNORA40B	85	0	5	118	0
SNORD94	1810	4	131	782	28
SNORD73A	0	0	0	0	0
SNORA35	0	0	0	0	0
SNORD96B	3	0	2	10	0
SNORA49	1515	2	106	1402	0
SNORD12C	38	2	42	25	26
MT.TL1	0	0	0	2	31
SNORD83B	0	0	0	0	0
SNORD83A	5	9	17	28	12
SNORA48	0	0	0	0	0
SNORD105	1	1	3	1	5
SNORD41	2	0	1	7	0
MT.TF	1	8	0	58	168
MT.TV	11	0	2	23	135
MT.RNR2	15716	205312	3106	478633	2320522
MT.TI	0	0	0	0	0
MT.TQ	0	0	0	0	0
MT.TM	9	0	1	116	385
MT.TW	0	0	0	0	0
MT.TA	0	0	0	0	5
MT.TN	0	0	0	0	0
MT.TC	38	16	4	13	553
MT.TY	35	13	15	24	1912
MT.TS1	0	0	0	0	0
MT.TD	0	0	0	0	0
MT.TK	0	0	0	0	0
MT.TG	0	0	0	0	0
MT.TR	0	0	0	0	0
MT.TH	4	0	0	29	2
RNU6ATAC4P	1	0	0	1	0
MT.TS2	4	0	0	24	33
MT.TL2	0	0	0	0	2
MT.TE	0	0	0	0	5
MT.TT	0	0	0	1	2
MT.TP	2501	8365	1406	689	35664
RNU6ATAC2P	13	0	1	11	5
RNU6ATAC3P	0	0	2	3	0
MIR196A1	18	2	42	243	28
SNORA40	0	0	0	0	0
RNU6ATAC5P	0	0	0	1	2
RNU6ATAC26P	0	0	0	7	0
MIR190A	1	0	3	3	0
GPX3	791	36	304	508	248
DIO2	3171	5	2	599	2
SELENOH	248	304	540	149	1274
GNRHR2	35	77	36	13	54
DIO1	18	1	8	60	2
AKR7L	100	641	117	249	128
STK38L	7044	3657	2518	2509	5107
SACM1L	1347	1500	1376	1906	1408
MT.RNR1	2665	33281	330	146952	428047
TSN	2638	4563	3286	1960	10523
MIR320D1	2	0	2	24	2
MIR320E	5	0	2	3	2
MIR454	3	0	0	10	5
MIR216B	1	0	0	1	0
MIR526A2	0	0	0	0	0
MIR501	1	0	0	4	0
MIR320B1	0	0	0	0	0
MIR3065	1	0	0	0	0
MIR670	0	0	0	0	0
MIR770	0	0	0	0	0
MIR760	1	1	1	1	0
MIR766	2	0	0	2	0
MIR759	0	0	0	0	0
MIR769	1	0	1	3	0
MIR765	6	0	3	6	0
MIR758	1	0	0	0	0
MIR767	0	0	0	1	0
SLC48A1	628	1112	911	416	456
MIR802	5	0	2	0	0
MIR762	0	0	0	0	0
IGKC	22053	0	9	37711	0
IGKJ5	7	0	0	114	0
IGKJ4	10	0	0	103	0
IGKJ3	8	0	0	49	0
IGKJ2	0	0	0	0	0
IGKJ1	4	0	0	80	0
IGKV4.1	3484	0	1	709	0
IGKV5.2	12	0	0	2	0
IGKV6.21	20	0	0	102	0
IGKV2D.26	0	0	0	0	0
IGKV3D.20	11	0	0	49	0
IGKV6D.41	0	0	0	3	0
IGKV3D.11	22	0	0	10	0
IGKV1D.42	0	0	0	1	0
IGLV4.69	38	0	0	70	0
IGLV8.61	189	0	0	16	0
IGLV4.60	19	0	0	3	0
IGLV6.57	156	0	0	88	0
IGLV11.55	0	0	0	2	0
IGLV10.54	20	0	0	23	0
IGLV5.52	3	2	1	6	2
IGLV1.51	1	3	1	3	2
IGLV1.50	2	0	0	8	2
IGLV5.48	2	0	0	3	0
IGLV1.47	339	0	0	89	0
IGLV7.46	51	0	0	145	0
IGLV5.45	9	0	0	24	0
IGLV1.44	408	0	0	114	0
IGLV7.43	29	0	0	32	0
IGLV1.40	450	0	1	814	0
IGLV5.37	3	0	0	6	0
IGLV1.36	14	0	0	7	0
IGLV2.33	1	0	0	1	0
IGLV3.32	0	0	0	3	0
IGLV3.27	33	0	0	3	0
IGLV3.25	537	0	1	352	0
IGLV2.23	672	0	0	678	0
IGLV3.22	0	0	1	0	0
IGLV3.21	1888	0	1	307	0
IGLV3.19	578	0	0	163	0
IGLV2.18	104	0	0	23	0
IGLV3.16	2	0	1	3	0
IGLV2.14	2573	0	1	499	0
IGLV3.12	0	0	1	15	0
IGLV2.11	239	0	0	340	0
IGLV3.10	113	0	0	164	0
IGLV3.9	47	0	0	33	0
IGLV4.3	0	0	0	1	0
IGLV3.1	1804	0	0	448	0
IGLJ1	0	0	0	0	0
IGLC1	0	0	0	0	0
IGLJ2	2	0	0	0	0
IGLC2	1387	0	2	810	0
IGLJ3	0	0	0	0	0
IGLC3	2348	0	2	848	0
IGLJ4	0	0	0	0	0
IGLJ5	0	0	0	0	0
IGLJ6	0	0	0	0	0
AP000346.1	2	1	2	4	0
IGLJ7	0	0	0	0	0
IGLC7	23	0	1	3	0
TRGJ2	0	0	0	0	0
TRGJP2	0	0	0	0	0
TRGC1	23	0	0	27	0
TRGJ1	0	0	0	1	0
TRGJP	0	0	0	3	0
TRGJP1	0	0	0	2	0
TRGV11	0	0	0	0	0
TRGV10	20	0	0	6	0
TRGV9	4	0	0	10	0
TRGV8	3	0	0	3	0
TRGV5	2	0	0	4	0
TRGV4	10	0	1	2	0
TRGV3	11	0	0	7	0
TRGV1	7	0	0	17	0
TRBV6.1	2	0	0	3	0
TRBV7.1	1	0	0	0	0
TRBV4.1	3	0	0	5	0
TRBV6.4	2	0	0	1	0
TRBV7.3	11	0	0	5	0
TRBV5.3	0	0	0	3	0
TRBV9	2	0	0	3	0
TRBV10.1	0	0	0	3	0
TRBV11.1	2	0	0	1	0
TRBV6.5	3	0	0	1	0
TRBV6.6	3	0	0	3	0
TRBV5.5	2	0	0	2	0
TRBV7.6	2	0	0	2	0
TRBV5.6	1	0	0	3	0
TRBV5.7	0	0	0	1	0
TRBV5.1	12	0	0	15	0
TRBV12.2	0	0	0	0	0
TRBV4.2	3	0	0	3	0
TRBV19	7	0	1	4	0
TRBV20.1	18	0	0	7	0
TRBV23.1	2	0	0	5	0
TRBV24.1	12	0	0	4	0
TRBC1	131	0	1	99	0
TRBV27	7	0	0	5	0
TRBV28	6	0	1	9	0
TRBJ2.1	0	0	0	0	0
TRBJ2.2	2	0	0	2	0
TRBJ2.2P	2	0	0	0	0
TRBJ2.3	1	0	0	2	0
TRBJ2.4	2	0	0	1	0
TRBJ2.5	1	0	0	0	0
TRBJ2.6	0	0	0	0	0
TRBJ2.7	2	0	0	1	0
TRBC2	235	1	7	216	0
TRAV2	3	0	0	3	0
TRAV3	7	0	0	3	0
TRAV4	3	0	0	6	0
TRAV5	3	0	0	0	0
TRAV6	4	0	0	4	0
TRAV7	0	0	0	1	0
TRAV8.1	2	0	0	4	0
TRAV9.1	0	0	0	1	0
TRAV10	2	0	0	2	0
TRAV12.1	8	0	0	2	0
TRAV8.2	8	0	0	2	0
TRAV8.3	11	0	0	8	0
TRAV13.1	9	0	0	10	0
TRAV12.2	11	0	0	10	0
TRAV8.4	7	0	0	9	0
TRAV13.2	3	0	0	2	0
TRAV14DV4	5	0	0	2	0
TRAV9.2	7	0	0	8	0
TRAV12.3	6	0	0	4	0
TRAV8.6	5	0	0	6	0
TRAV16	2	0	0	1	0
TRAV17	7	0	0	10	0
TRAV18	10	0	1	3	2
TRAV19	11	0	0	5	0
TRAV20	2	0	0	2	0
TRAV21	11	0	0	2	0
TRAV22	2	0	0	0	0
TRAV23DV6	6	0	0	2	0
TRDV1	3	0	0	2	0
TRAV24	2	0	0	0	0
TRAV25	2	0	0	3	0
TRAV26.1	7	0	0	10	0
TRAV8.7	0	0	0	1	0
TRAV27	3	0	0	2	0
TRAV29DV5	2	0	0	2	0
TRAV26.2	1	0	0	1	0
TRAV34	0	0	0	2	0
TRAV35	2	0	0	3	0
TRAV36DV7	0	0	0	4	0
TRAV38.1	2	0	0	2	0
TRAV38.2DV8	3	0	1	5	0
TRAV39	3	0	0	4	0
TRAV40	0	0	0	2	0
TRAV41	3	0	3	2	2
TRDV2	2	0	0	1	0
TRDJ1	0	0	0	2	0
TRDJ4	0	0	0	0	0
TRDJ2	0	0	0	0	0
TRDJ3	0	0	0	3	0
TRDC	15	0	1	10	7
TRAJ61	1	0	0	0	0
TRAJ59	0	0	0	0	0
TRAJ58	1	0	0	0	0
TRAJ57	1	0	0	2	0
TRAJ56	2	0	0	4	0
TRAJ54	0	0	0	1	0
TRAJ53	0	0	0	0	0
TRAJ52	0	0	0	2	0
TRAJ50	2	0	0	3	0
TRAJ49	2	0	0	1	0
TRAJ48	6	0	0	3	0
TRAJ47	0	0	0	6	0
TRAJ46	3	0	0	4	0
TRAJ45	4	0	0	7	0
TRAJ44	8	0	0	4	0
TRAJ43	6	0	0	4	0
TRAJ42	11	0	0	13	0
TRAJ41	3	0	0	8	0
TRAJ40	5	0	0	10	0
TRAJ39	3	0	0	16	0
TRAJ38	4	0	0	13	0
TRAJ35	2	0	0	6	0
TRAJ34	1	0	0	14	0
TRAJ33	6	0	0	14	0
TRAJ32	5	0	0	10	0
TRAJ31	2	0	0	10	0
TRAJ30	2	0	0	9	0
TRAJ29	5	0	0	12	0
TRAJ28	5	0	0	15	0
TRAJ27	5	0	0	17	0
TRAJ26	11	0	0	11	0
TRAJ25	1	0	0	11	0
TRAJ24	7	0	0	10	0
TRAJ23	6	0	0	19	0
TRAJ22	4	0	0	20	0
TRAJ21	6	0	0	20	0
TRAJ20	3	0	0	9	0
TRAJ19	4	0	0	15	0
TRAJ18	2	0	0	3	0
TRAJ17	5	0	0	10	0
TRAJ16	2	0	0	12	0
TRAJ14	3	0	0	9	0
TRAJ13	3	0	0	12	0
TRAJ12	7	0	0	17	0
TRAJ11	3	0	0	18	0
TRAJ10	7	0	0	13	0
TRAJ9	1	0	0	17	0
TRAJ8	5	0	0	9	0
TRAJ7	6	0	0	15	0
TRAJ6	2	0	0	13	0
TRAJ5	1	0	0	8	0
TRAJ4	7	0	0	10	0
TRAJ3	5	0	0	12	0
TRAJ2	2	0	0	4	0
TRAJ1	2	0	0	8	0
IGHA2	1782	0	9	2802	2
IGHE	18	0	3	4	2
IGHG4	6287	0	1	897	2
IGHG2	3826	0	5	1359	0
IGHA1	4674	0	12	16808	0
IGHG1	41787	0	11	13494	0
IGHG3	2530	0	1	1045	0
IGHD	76	0	0	2	0
IGHM	2975	0	5	2170	2
IGHJ6	12	0	0	176	0
IGHJ2	2	0	0	3	0
IGHJ1	2	0	0	0	0
IGHD1.26	0	0	0	0	0
IGHD5.24	0	0	0	0	0
IGHD3.22	0	0	0	0	0
IGHD2.21	0	0	0	0	0
IGHD6.19	0	0	0	0	0
IGHD5.18	0	0	0	0	0
IGHD3.16	0	0	0	3	0
IGHD2.15	0	0	0	6	0
IGHD6.13	0	0	0	2	0
IGHD5.12	0	0	0	3	0
IGHD3.10	0	0	0	1	0
IGHD3.9	2	0	0	0	0
IGHD2.8	2	0	0	3	0
IGHD5.5	0	0	0	1	0
IGHD3.3	1	0	0	3	0
IGHD2.2	1	0	0	6	0
IGHV6.1	145	0	0	38	0
IGHV1.2	477	0	0	52	0
IGHV1.3	175	0	0	363	0
IGHV2.5	740	0	0	278	0
IGHV3.7	696	0	0	469	0
IGHV3.11	229	0	0	115	0
IGHV3.13	414	0	0	16	0
IGHV3.15	1157	0	0	814	0
IGHV3.16	0	0	0	3	0
IGHV1.18	436	0	2	650	0
IGHV3.20	73	0	0	27	0
IGHV3.21	755	0	0	2028	0
IGHV3.23	1834	0	2	1483	0
IGHV1.24	2005	0	0	525	0
IGHV2.26	152	0	0	27	0
IGHV4.28	28	0	0	34	0
IGHV3.33	553	0	0	440	0
IGHV4.34	370	0	1	161	0
IGHV3.35	2	0	0	16	0
IGHV3.38	0	0	0	2	0
IGHV4.39	1296	0	2	1218	0
IGHV1.45	0	0	0	2	0
IGHV1.46	899	0	1	1763	0
IGHV3.48	1059	0	0	598	0
IGHV3.49	197	0	0	146	0
IGHV5.51	1140	0	0	385	0
IGHV3.53	99	0	0	64	0
IGHV1.58	31	0	0	15	0
IGHV4.61	64	0	0	102	0
IGHV3.66	24	0	0	27	0
IGHV1.69	190	0	0	4	0
IGHV2.70D	4	0	0	1	0
IGHV3.73	19	0	0	23	0
IGHV5.78	2	3	2	10	2
IGHV7.81	1	7	2	23	45
MIR676	1	0	0	1	0
MIR708	2	0	0	1	0
MIR509.2	0	0	0	1	0
MIR509.3	0	0	0	3	0
MIR548U	6	0	2	24	0
MIR550A3	1	0	2	8	0
MIR374B	0	0	0	0	0
MIR548BA	0	0	0	0	0
MIR543	0	0	0	0	0
MIR320C2	2	0	0	5	0
MIR764	0	0	0	1	0
MIR301B	0	0	1	1	0
TSSK1B	0	0	0	2	0
PRR22	14	85	56	26	24
TAS2R19	131	0	47	158	12
TAS2R15P	131	2	33	244	28
TAS2R50	69	0	29	112	0
TAS2R14	130	15	59	212	31
TAS2R13	114	0	37	185	0
RNU6.1168P	0	0	0	0	0
AL031650.1	0	0	0	0	0
SNORD67	62	0	10	82	5
RNU6.696P	1	0	0	3	5
RNA5SP372	1	0	0	3	0
RNU6.1320P	0	0	0	1	0
U8.12	0	0	0	1	0
U8.13	1	0	1	4	0
RNU6.910P	0	0	1	0	0
RNU6.1106P	2	0	0	1	0
AC055866.1	0	0	0	0	0
RNU1.82P	0	0	0	0	0
RNA5SP377	0	0	0	0	0
RNU6.576P	0	0	0	2	0
RNU6.1319P	2	0	1	0	0
SNORD66	8	0	0	13	2
RNU6.205P	0	0	0	0	0
AL590560.1	0	0	0	0	0
SNORD91A	6	0	4	5	2
U3.15	0	0	0	0	0
RNU6.763P	0	0	0	1	0
AC073875.1	0	0	0	1	0
RNU1.77P	3	0	1	5	0
RNA5SP86	1	0	0	0	0
RNU1.149P	0	0	0	0	0
AC015982.1	16	1	19	46	0
RNA5SP207	0	0	0	1	0
AC019070.1	6	0	2	10	0
U3.16	0	0	0	2	0
RNU6.440P	0	0	0	0	0
RNU6.258P	1	0	0	0	0
AC092814.1	0	0	0	6	0
RNU6.328P	0	0	0	1	2
RNU6.298P	2	0	1	2	7
AC017087.1	0	0	0	2	0
U3.17	14	0	19	111	2
RNU6.127P	0	0	0	0	0
RNA5SP91	2	0	1	6	0
Y_RNA.576	16	0	1	24	2
AC135178.1	0	0	0	0	0
RNU6.1321P	3	0	6	18	7
U3.18	0	0	0	3	0
SNORA48B	0	0	0	1	0
RNU6.913P	0	0	0	0	0
RNU6.816P	0	0	0	0	0
RNU6.604P	0	0	0	0	0
RNU6.220P	0	0	0	2	0
AL133229.1	0	0	0	0	0
RNU6.907P	0	0	1	4	0
AC009121.1	0	0	0	0	0
AL591004.1	0	0	0	0	0
RNU6.747P	0	0	0	0	0
SNORD17	45519	69	4966	3093	71
RNA5SP18	3	33	8	1	26
RNA5SP244	0	0	0	0	0
RNU6.930P	15	0	5	8	2
Y_RNA.577	0	0	0	4	0
RNA5SP219	24	14	8	9	7
RNU6.360P	0	0	0	3	0
RNU6.278P	0	0	0	1	0
RNU6.750P	1	0	3	30	2
U8.14	0	0	0	0	0
RNA5SP376	0	0	0	0	0
RNU6.1176P	7	0	0	49	2
RNA5SP176	0	0	1	0	0
RNU6.308P	4	1	9	6	0
RNU6.724P	5	0	5	35	2
SNORD65C	2	0	2	0	0
RNA5SP185	0	0	0	0	0
AL390877.1	0	0	0	3	0
RNU6.788P	0	0	0	0	0
AL359396.1	0	0	0	0	0
AC090821.1	2	0	0	3	0
RNA5SP292	0	0	0	2	0
SNORD81.2	0	0	0	1	0
AC012435.1	0	0	0	0	0
RNA5SP256	2	0	0	7	0
RNU6.578P	0	0	0	1	0
SNORD89	348	3	11	319	2
RNA5SP339	1	0	1	5	0
RNU6.239P	0	0	0	0	0
AL137247.1	0	0	0	0	0
SNORD28B	0	0	0	1	0
SNORD72	6	1	17	17	7
RNU6.821P	0	0	0	1	0
RNU6.1009P	0	0	0	0	0
AL135998.1	2	1	2	2	9
RNU6.1154P	2	0	2	2	2
SNORD12	0	0	0	0	0
RNU6.679P	0	0	0	0	0
Y_RNA.578	15	0	2	7	2
RNA5SP23	0	0	0	1	0
SNORD70B	0	0	0	0	0
RNA5SP109	0	0	0	0	0
RNU6.1307P	0	0	0	0	0
RNU6.1228P	0	0	0	4	0
Y_RNA.579	0	0	0	0	0
U3.19	0	0	1	1	2
RNU6.129P	0	0	0	1	0
Y_RNA.580	0	0	1	0	0
RNU6.882P	2	2	2	5	5
RNU6.316P	3	0	12	3	2
RNU6.244P	0	0	0	0	0
RNA5SP297	0	0	1	7	2
RNU6.780P	16	1	8	13	0
RNA5SP213	1	0	0	1	0
Y_RNA.581	0	0	0	0	0
RNA5SP210	4	0	2	3	0
AL512326.2	3	0	4	25	2
RNU6.739P	0	0	0	2	0
AC103725.1	10	0	5	54	0
RNU6.823P	0	0	1	3	0
RNU6.700P	0	0	0	0	0
AL031584.1	0	0	0	1	0
RNU6.1300P	0	0	0	2	0
RNU6.1242P	0	0	1	3	0
RNU6.837P	2	0	0	1	0
RNU6.550P	1	0	0	0	0
RNU6.1177P	5	0	1	22	7
AC010501.1	0	0	0	0	0
RNA5SP332	0	0	0	0	0
RNU6.1246P	0	0	0	9	0
RNU6.1000P	0	0	0	0	0
RNU6.482P	0	0	4	8	7
AF111168.1	7	2	6	10	21
RNA5SP171	0	0	0	0	0
RNU6.401P	0	0	0	0	0
AL139003.1	0	0	0	0	0
AC092630.1	0	0	0	1	0
RNU6.269P	0	0	0	0	0
SNORD115.45	0	0	0	0	0
RNU6.159P	0	0	0	0	0
AC121758.1	0	0	0	2	0
SNORD113.2	8	0	0	8	0
RNU6.817P	0	0	0	0	0
RNU6.1055P	1	0	0	0	0
RNU6.796P	0	0	0	0	0
RNU6.1275P	1	0	0	17	0
AC073149.1	11	0	4	24	5
Y_RNA.582	0	0	0	0	0
AL160271.1	0	0	0	1	0
RNA5SP323	2	0	8	9	5
AP003063.1	0	0	0	0	0
RNU6.1248P	0	0	0	0	0
SNORA74B	2656	0	128	716	9
Y_RNA.583	0	0	0	1	0
RNU6.663P	0	0	0	0	0
RNY4P18	2	0	0	2	0
RNU6.932P	2	0	1	1	0
SNORD115	16	0	3	30	0
RNU11.3P	2	0	0	6	5
SNORD77B	0	0	0	1	0
AC018515.1	3	0	0	8	0
RNY4P36	1	0	1	3	0
RNU6.1111P	7	0	0	13	0
AL136367.1	0	0	0	0	0
U3.20	0	0	0	0	0
RNU1.119P	0	0	0	0	0
RNA5SP105	0	0	0	1	0
SNORD115.49	1	0	0	0	0
RNU11.6P	4	0	0	20	2
SNORA75.1	11	0	2	7	0
RNA5SP252	1	0	0	1	0
U3.21	2	0	0	3	2
SNORA75.2	12	1	8	4	7
RNU6.1269P	0	0	0	0	0
RNU6.243P	0	0	0	0	0
SNORA53	6268	4	1039	3731	17
AC130462.1	3	0	2	26	0
RNU6.131P	0	0	0	0	5
SNORD90	2	0	3	5	0
Y_RNA.584	0	0	0	0	0
RNU6.241P	0	0	0	0	0
RNU11.4P	1	0	0	3	2
SNORD69	6	4	6	36	17
RNA5SP286	0	0	0	0	0
AC079802.1	3	0	0	3	0
RNU6.644P	0	1	3	6	0
AC092535.1	2	0	0	4	0
RNU6.695P	0	0	0	1	0
RNU6.460P	2	0	1	2	2
AC078860.1	10	0	11	41	7
SNORA12	1314	0	572	988	735
RNU6.952P	1	0	0	0	0
RNU6.754P	0	0	0	0	0
RNU6.1158P	0	0	0	0	2
RNU1.101P	0	0	0	1	0
RNU6.400P	0	0	0	0	0
U3.22	2	0	1	1	5
RNU6.530P	3	0	0	3	0
RNU6.1197P	2	0	0	1	0
RNU6.1109P	0	0	0	1	0
AC104066.1	0	0	0	0	0
SNORD19	7	2	12	31	19
RNU6.332P	0	0	0	0	0
RNU6.1093P	2	0	0	10	0
RNA5SP465	1	0	2	7	0
SNORD86	0	0	0	0	0
RNA5SP300	2	0	0	3	0
RNA5SP299	0	0	0	0	0
RNU6.972P	1	0	0	1	0
U3.23	0	0	0	1	0
Y_RNA.585	0	0	0	3	0
RNU6.1268P	0	0	0	0	0
AL121924.1	2	0	2	2	2
RNU11.5P	0	0	0	1	0
RNU6.1250P	1	0	0	2	0
RNU6.918P	0	1	0	0	0
RNA5SP212	4	0	1	10	0
RNU6.466P	9	0	0	18	0
RNA5SP63	0	0	0	0	0
SNORD115.47	0	0	0	0	0
AC024561.1	5	0	2	13	0
AL365219.1	0	0	0	0	0
SNORA75.3	12	3	8	39	5
SNORD70	10	0	11	29	12
RNU6.808P	3	0	1	5	2
RNA5SP474	1	1	0	3	17
U3.24	0	0	0	2	0
U3.25	0	0	0	4	0
RNU6.510P	15	2	2	13	0
RNA5SP496	2	0	1	2	0
RNU6.337P	1	0	0	2	0
RNU6.995P	1	0	0	0	0
RNA5SP354	1	0	1	5	5
RNU1.78P	0	0	0	0	0
U3.26	1	0	0	2	0
SNORD116.31	0	0	0	0	0
RNU6.192P	0	0	0	0	0
Y_RNA.586	0	0	0	1	0
AC104794.1	0	0	0	0	0
RNA5SP35	0	0	0	2	0
RNU6.630P	0	0	0	1	0
RNU6.381P	0	0	0	0	0
RNU6.1326P	0	0	0	0	0
AC068531.1	0	0	0	2	0
AC008810.1	6	0	7	29	2
RNU6.1254P	0	0	2	10	0
Y_RNA.587	0	0	0	0	0
RNA5SP482	0	0	0	0	0
RNU6.903P	1	0	1	0	0
RNA5SP467	0	0	0	1	0
AL033519.1	0	0	0	0	0
SNORA75.4	0	0	0	2	0
U8.15	0	0	0	3	0
RNU6.587P	0	0	0	0	0
AL035555.1	0	0	0	2	0
SNORA40C	0	0	1	2	0
SNORA26	0	0	0	0	0
AL592546.1	0	0	0	1	0
AC003109.1	0	0	0	1	0
SNORA75.5	2	0	1	8	0
U8.16	0	0	0	0	0
RNA5SP525	0	0	0	0	0
RNU6.876P	13	0	4	12	0
U3.27	0	0	0	2	0
RNU6.279P	0	0	0	1	0
RNA5SP53	6	0	1	20	0
AC044913.1	0	0	0	0	0
RNU1.56P	1	0	0	7	0
SNORA3B	111	5	19	188	26
AC112218.1	0	0	0	1	0
RNU1.139P	1	0	0	0	0
U3.28	0	0	0	1	0
SNORD30	0	0	0	0	0
RNU6.1239P	0	0	0	0	0
SNORD58	2	0	5	12	2
AC090286.2	1	0	0	0	0
SNORA75.6	0	0	0	0	0
RNU6.493P	1	0	0	0	0
AL050343.1	8	0	1	10	0
RNA5SP397	2	0	0	1	0
AP005270.1	0	0	0	1	0
RNA5SP241	2	0	0	0	0
ZRSR2P1	0	0	0	0	0
KRTAP16.1	0	0	0	3	2
KRTAP29.1	0	0	0	0	0
KRTAP9.6	0	0	0	0	0
AC003035.1	1	0	1	1	2
AC064799.1	11	37	16	17	203
LINC01089	154	143	100	312	328
AL583805.1	1	3	1	10	165
CTAGE1	5	2	2	4	5
AP002414.1	0	9	1	1	0
DEFB117	0	0	0	0	0
LINC02693	434	299	687	332	645
KRTAP4.11	0	0	0	3	0
KRTAP4.9	0	0	0	0	0
KRTAP2.3	7	10	3	1	2
KRTAP2.1	0	0	0	0	0
LINC02656	89	6	22	88	21
RTL8B	299	2	1	151	317
EWSAT1	1	3	3	3	2
HMGN2P8	2	0	0	3	0
ST13P5	7	8	9	7	14
RPL15P3	12	227	62	17	1123
OR2A42	58	1	8	25	0
RPS26P3	0	0	1	1	111
TTTY2	0	0	0	0	0
TTTY2B	0	0	0	0	0
RNF208	38	1566	115	39	269
KRTAP3.3	0	0	1	9	0
KRTAP3.2	2	0	6	15	0
KRTAP3.1	0	6	49	3	28
MT.ND4L	2826	38433	258	44304	66360
MAP10	242	457	39	80	5
AC093281.1	0	0	0	1	0
RPL23AP4	0	1	0	0	0
KRTAP12.4	0	0	0	2	0
KRTAP10.3	0	0	0	2	0
KRTAP6.3	0	0	0	0	0
Z97192.1	34	0	25	107	2
BX005266.1	0	0	0	0	0
BX088651.1	0	0	0	0	0
HNRNPA1P40	52	0	4	25	9
AC016747.1	137	697	3	53	0
AC124293.1	4	0	0	2	0
POU5F1B	38	11	1850	680	442
RPS26P6	0	2	0	3	83
BTF3P12	30	2	6	103	5
PTTG3P	8	0	1	53	2
