gene_symbol	gs_name	gs_description
POLH	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
POLL	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLQ	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
POLR1C	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR1D	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR1H	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR2A	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR2C	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR2D	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR2E	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR2F	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR2G	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR2H	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR2I	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR2J	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR2K	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR3C	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POLR3GL	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POM121	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
POM121	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
POP7	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PPM1D	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PPM1D	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PPP1R15A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PPP1R8	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PPP2R5B	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PPP3R1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PPT1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PRC1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PRDX4	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PRF1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PRIM1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
PRIM2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PRIM2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PRKAB1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PRKDC	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PRMT2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PRMT5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PROCR	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PRPF4B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PRPS1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PSEN1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PSEN2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PSIP1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PSMC3IP	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PTK2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
PTPN14	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PTPRE	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
PTTG1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
PTTG1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PTTG3P	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PURA	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
PVT1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RAB40C	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RACGAP1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RACGAP1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
RACK1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RAD1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RAD21	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RAD21	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
RAD23B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
RAD50	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RAD51	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RAD51AP1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RAD51C	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RAD51C	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RAD52	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RAD54L	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
RAD9A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RAE1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RALA	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RALGDS	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RAN	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RANBP1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RAP2B	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RARA	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
RASAL2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
RB1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RBBP7	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RBL1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
RBM14	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
RBX1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RCHY1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RELA	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
RETSAT	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
RETSAT	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
REV3L	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RFC1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RFC2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RFC2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RFC3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RFC3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RFC4	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RFC5	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RGS16	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RHBDF2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RHOB	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
RHOT2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
RNASEH2A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RNASEL	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
RNF19B	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RNMT	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ROCK1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
RPA1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RPA2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RPA2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RPA2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
RPA3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RPA3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RPL18	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RPL36	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RPS12	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RPS27L	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RPS6KA5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
RRAD	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RRM2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
RRM2B	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
RRP8	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
RXRA	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
S100A10	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
S100A4	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SAC3D1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SAP30	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SAT1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
SAT1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SATB1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
SC5D	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
SDC1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SDCBP	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SEC61A1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SEC61A1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SERPINB5	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SERTAD3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SESN1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SF3A3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SFN	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SFPQ	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SHMT1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SLBP	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SLC12A2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SLC19A2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SLC20A1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
SLC35D1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SLC38A1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SLC3A2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SLC7A1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SLC7A11	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SLC7A5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SMAD3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SMAD5	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SMAD7	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
SMARCC1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SMC1A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SMC1A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SMC2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SMC3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SMC4	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SMC4	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SMC6	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SNAPC4	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SNAPC5	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SNRPB	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SNRPD1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SOCS1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SOD1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
SOD2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
SP1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SPAG5	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SPC24	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SPC25	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SPHK1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
SPTAN1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
SQLE	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SQSTM1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
SRSF1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SRSF1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SRSF10	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SRSF2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SRSF2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SRSF6	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SS18	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SSRP1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SSRP1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
ST14	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
STAG1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
STAG1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
STEAP3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
STIL	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
STMN1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
STMN1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
STOM	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
STX3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SUPT4H1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SUPT5H	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SURF1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
SUV39H1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SUV39H1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
SYNCRIP	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
SYNCRIP	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TACC3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TACC3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TAF10	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TAF12	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TAF13	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TAF1C	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TAF6	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TAF9	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TAP1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TAP1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TARBP2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TAX1BP3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TBRG4	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TCF19	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TCHH	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TCN2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TENT4A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TFDP1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TFRC	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TGFA	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TGFB1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TGFB1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TGFB2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TGFBR3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TIMELESS	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TIMP1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TIMP2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TIMP3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TIPIN	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TK1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TK2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TLE3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TM4SF1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TM7SF3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TMED2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TMPO	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TMPO	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TNF	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TNFRSF12A	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TNFSF10	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TNFSF9	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TNNI1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TNPO2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TOB1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TOP1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TOP2A	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TOP2A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TOP2A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TP53	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TP53	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TP53	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TP63	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TPD52L1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TPRKB	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TPX2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TRA2B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TRA2B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TRAF4	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TRAFD1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TRAIP	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TRIAP1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TRIB3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TRIP13	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TROAP	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TSC22D1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TSG101	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
TSPO	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TSPYL2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TTK	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
TUBB	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TUBG1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
TXNIP	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
TXNIP	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
TYMS	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
UBE2C	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
UBE2S	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
UBE2S	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
UBE2T	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
UBR7	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
UCK2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
UMPS	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
UNG	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
UPF1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
UPF3B	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
UPP1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
USP1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
USP11	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
VAMP8	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
VDAC2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
VDR	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
VPS28	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
VPS37B	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
VPS37D	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
VWA5A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
WDR90	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
WEE1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
WEE1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
WRAP73	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
WRN	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
WWP1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
XIAP	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
XPC	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
XPC	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
XPO1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
XPO1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
XRCC6	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
YTHDC1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ZBTB16	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ZFP36L1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ZMAT3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ZNF365	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
